task_description,task_id,actual_points,predicted_points,absolute_error,relative_error,accuracy_category,fibonacci_compliant,original_user_story
Design video upload interface,VID_001,3,5,2,0.6666666666666666,poor,True,"As a user, I want to add a video to my article..."
Integrate with video hosting service,VID_002,4,8,4,1.0,poor,True,"As a user, I want to add a video to my article..."
Add video embed functionality,VID_003,3,8,5,1.6666666666666667,poor,True,"As a user, I want to add a video to my article..."
Implement video preview in editor,VID_004,2,8,6,3.0,poor,True,"As a user, I want to add a video to my article..."
Add video metadata management,VID_005,2,8,6,3.0,poor,True,"As a user, I want to add a video to my article..."
Integrate Brightcove API,BCO_001,4,8,4,1.0,poor,True,"As a content editor, I want to be able to add videos from Brightcove..."
Create Brightcove video browser interface,BCO_002,4,13,9,2.25,poor,True,"As a content editor, I want to be able to add videos from Brightcove..."
Add video selection and embed functionality,BCO_003,3,8,5,1.6666666666666667,poor,True,"As a content editor, I want to be able to add videos from Brightcove..."
Implement video preview and metadata display,BCO_004,3,8,5,1.6666666666666667,poor,True,"As a content editor, I want to be able to add videos from Brightcove..."
Add video management and organization tools,BCO_005,2,13,11,5.5,poor,True,"As a content editor, I want to be able to add videos from Brightcove..."
Add indent/outdent buttons to editor toolbar,IND_001,2,3,1,0.5,acceptable,True,"As an author, I want to be able to indent / outdent content..."
Implement keyboard shortcuts for indentation,IND_002,2,3,1,0.5,acceptable,True,"As an author, I want to be able to indent / outdent content..."
Create nested content structure support,IND_003,3,8,5,1.6666666666666667,poor,True,"As an author, I want to be able to indent / outdent content..."
Add visual indentation indicators,IND_004,2,5,3,1.5,poor,True,"As an author, I want to be able to indent / outdent content..."
Ensure proper HTML output formatting,IND_005,2,3,1,0.5,acceptable,True,"As an author, I want to be able to indent / outdent content..."
Compile user research findings into report,RES_001,4,5,1,0.25,acceptable,True,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is ..."
Create executive summary of key insights,RES_002,3,3,0,0.0,perfect,True,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is ..."
Develop CMS recommendation based on research,RES_003,3,5,2,0.6666666666666666,poor,True,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is ..."
Present findings to stakeholders,RES_004,2,3,1,0.5,acceptable,True,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is ..."
Document decision rationale,RES_005,2,2,0,0.0,perfect,True,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is ..."
